Original	Obfused	Corrected
to	to	to
means	means	means
.	.	.
""""	""""	""""
""""	""""	""""
My	My	My
friend	friend	friend
,	,	,
I	I	I
told	told	told
you	you	you
so	so	so
,	,	,
""""	""""	""""
said	said	said
the	the	the
uncle	uncle	uncle
,	,	,
with	with	with
a	a	a
fine	fine	fine
pulsation	pulsation	_UNK
in	in	in
the	the	the
two	two	two
marks	marks	marks
.	.	.
""""	""""	""""
Do	Do	Do
me	me	me
the	a	the
favour	favour	favour
to	to	to
recall	recall	recall
that	that	that
I	I	I
told	told	told
you	you	you
so	so	so
,	,	,
long	long	long
ago	ago	ago
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
recall	recall	recall
it	it	it
.	.	.
""""	""""	""""
""""	""""	""""
Thank	Thank	Thank
you	you	you
,	,	,
""""	""""	""""
said	said	said
the	a	the
Marquis--very	Marquis--very	_UNK
sweetly	sweetly	_UNK
indeed	indeed	indeed
.	.	.
His	His	His
tone	tone	tone
lingered	lingered	lingered
in	in	in
the	the	the
air	air	air
,	,	,
almost	almost	almost
like	like	like
the	the	a
tone	tone	tone
of	of	of
a	a	a
musical	musical	musical
instrument	instrument	instrument
.	.	.
""""	""""	""""
In	In	In
effect	effect	effect
,	,	,
sir	sir	sir
,	,	,
""""	""""	""""
pursued	pursued	pursued
the	a	the
nephew	nephew	_UNK
,	,	,
""""	""""	""""
I	I	I
believe	believe	believe
it	it	it
to	to	to
be	be	be
at	at	at
once	once	once
your	your	your
bad	bad	bad
fortune	fortune	fortune
,	,	,
and	and	and
my	my	my
good	good	good
fortune	fortune	fortune
,	,	,
that	that	that
has	has	has
kept	kept	kept
me	me	me
out	out	out
of	of	of
a	a	a
prison	prison	prison
in	in	in
France	France	the
here	here	here
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
do	do	do
not	not	not
quite	quite	quite
understand	understand	understand
,	,	,
""""	""""	""""
returned	returned	returned
the	the	the
uncle	uncle	uncle
,	,	,
sipping	sipping	sipping
his	his	his
coffee	coffee	coffee
.	.	.
""""	""""	""""
Dare	Dare	_UNK
I	I	I
ask	ask	ask
you	you	you
to	to	to
explain	explain	explain
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
believe	believe	believe
that	that	that
if	if	if
you	you	you
were	were	were
not	not	not
in	in	in
disgrace	disgrace	disgrace
with	with	with
the	the	the
Court	Court	_UNK
,	,	,
and	and	and
had	had	had
not	not	not
been	been	been
overshadowed	overshadowed	_UNK
by	by	by
that	that	that
cloud	cloud	cloud
for	for	for
years	years	years
past	past	past
,	,	,
a	the	the
letter	letter	letter
de	de	water--and
cachet	cachet	_UNK
would	would	would
have	have	have
sent	sent	sent
me	me	me
to	to	to
some	some	some
fortress	fortress	_UNK
indefinitely	indefinitely	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
It	It	It
is	is	is
possible	possible	possible
,	,	,
""""	""""	""""
said	said	said
the	the	the
uncle	uncle	uncle
,	,	,
with	with	with
great	great	great
calmness	calmness	calmness
.	.	.
""""	""""	""""
For	For	For
the	the	the
honour	honour	honour
of	of	of
the	the	the
family	family	family
,	,	,
I	I	I
could	could	could
even	even	even
resolve	resolve	resolve
to	to	to
incommode	incommode	_UNK
you	you	you
to	to	to
that	that	that
extent	extent	extent
.	.	.
Pray	Pray	Pray
excuse	excuse	excuse
me	me	me
!	!	!
""""	""""	""""
""""	""""	""""
I	I	I
perceive	perceive	_UNK
that	that	that
,	,	,
happily	happily	happily
for	for	for
me	me	me
,	,	,
the	the	the
Reception	Reception	_UNK
of	of	of
the	the	the
day	day	day
before	before	before
yesterday	yesterday	yesterday
was	was	was
,	,	,
as	as	as
usual	usual	usual
,	,	,
a	the	a
cold	cold	cold
one	one	one
,	,	,
""""	""""	""""
observed	observed	observed
the	the	a
nephew	nephew	_UNK
.	.	.
""""	""""	""""
I	I	I
would	would	would
not	not	not
say	say	say
happily	happily	happily
,	,	,
my	my	my
friend	friend	friend
,	,	,
""""	""""	""""
returned	returned	returned
the	the	the
uncle	uncle	uncle
,	,	,
with	with	with
refined	refined	refined
politeness	politeness	politeness
;	;	;
""""	""""	""""
I	I	I
would	would	would
not	not	not
be	be	be
sure	sure	sure
of	of	of
that	that	that
.	.	.
A	A	A
good	good	good
opportunity	opportunity	opportunity
for	for	for
consideration	consideration	consideration
,	,	,
surrounded	surrounded	surrounded
by	by	by
the	the	the
advantages	advantages	advantages
of	of	of
solitude	solitude	solitude
,	,	,
might	might	might
influence	influence	influence
your	your	your
destiny	destiny	_UNK
to	to	to
far	far	far
greater	greater	greater
advantage	advantage	advantage
than	than	than
you	you	you
influence	influence	influence
it	it	it
for	for	for
yourself	yourself	yourself
.	.	.
But	But	But
it	it	it
is	is	is
useless	useless	useless
to	to	to
discuss	discuss	discuss
the	the	the
question	question	question
.	.	.
I	I	I
am	am	am
,	,	,
as	as	as
you	you	you
say	say	say
,	,	,
at	at	at
a	a	the
disadvantage	disadvantage	disadvantage
.	.	.
These	These	These
little	little	little
instruments	instruments	_UNK
of	of	of
correction	correction	correction
,	,	,
these	these	these
gentle	gentle	gentle
aids	aids	_UNK
to	to	to
the	the	the
power	power	power
and	and	and
honour	honour	honour
of	of	of
families	families	families
,	,	,
these	these	these
slight	slight	slight
favours	favours	favours
that	that	that
might	might	might
so	so	so
incommode	incommode	_UNK
you	you	you
,	,	,
are	are	are
only	only	only
to	to	to
be	be	be
obtained	obtained	obtained
now	now	now
by	by	by
interest	interest	interest
and	and	and
importunity	importunity	_UNK
.	.	.
They	They	They
are	are	are
sought	sought	sought
by	by	by
so	so	so
many	many	many
,	,	,
and	and	and
they	they	they
are	are	are
granted	granted	granted
(	(	(
comparatively	comparatively	comparatively
)	)	)
to	to	to
so	so	so
few	few	few
!	!	!
It	It	It
used	used	used
not	not	not
to	to	to
be	be	be
so	so	so
,	,	,
but	but	but
France	France	hotel
in	in	in
all	all	all
such	such	such
things	things	things
is	is	is
changed	changed	changed
for	for	for
the	a	the
worse	worse	worse
.	.	.
Our	Our	_UNK
not	not	not
remote	remote	remote
ancestors	ancestors	_UNK
held	held	held
the	the	the
right	right	right
of	of	of
life	life	life
and	and	and
death	death	death
over	over	over
the	a	the
surrounding	surrounding	surrounding
vulgar	vulgar	vulgar
.	.	.
From	From	From
this	this	this
room	room	room
,	,	,
many	many	many
such	such	such
dogs	dogs	dogs
have	have	have
been	been	been
taken	taken	taken
out	out	out
to	to	to
be	be	be
hanged	hanged	hanged
;	;	;
in	in	in
the	the	the
next	next	next
room	room	room
(	(	(
my	my	my
bedroom	bedroom	bedroom
)	)	)
,	,	,
one	one	one
fellow	fellow	fellow
,	,	,
to	to	to
our	our	our
knowledge	knowledge	knowledge
,	,	,
was	was	was
poniarded	poniarded	_UNK
on	on	on
the	the	the
spot	spot	spot
for	for	for
professing	professing	_UNK
some	some	some
insolent	insolent	insolent
delicacy	delicacy	_UNK
respecting	respecting	_UNK
his	his	his
daughter--_his_	daughter--_his_	_UNK
daughter	daughter	daughter
?	?	?
We	We	We
have	have	have
lost	lost	lost
many	many	many
privileges	privileges	,
;	;	;
a	a	the
new	new	new
philosophy	philosophy	philosophy
has	has	has
become	become	become
the	the	the
mode	mode	mode
;	;	;
and	and	and
the	the	the
assertion	assertion	amiability
of	of	of
our	our	our
station	station	station
,	,	,
in	in	in
these	these	these
days	days	days
,	,	,
might	might	might
(	(	(
I	I	I
do	do	do
not	not	not
go	go	go
so	so	so
far	far	far
as	as	as
to	to	to
say	say	say
would	would	would
,	,	,
but	but	but
might	might	might
)	)	)
cause	cause	cause
us	us	us
real	real	real
inconvenience	inconvenience	inconvenience
.	.	.
All	All	All
very	very	very
bad	bad	bad
,	,	,
very	very	very
bad	bad	bad
!	!	!
""""	""""	""""
The	The	The
Marquis	Marquis	_UNK
took	took	took
a	a	a
gentle	gentle	gentle
little	little	little
pinch	pinch	pinch
of	of	of
snuff	snuff	snuff
,	,	,
and	and	and
shook	shook	shook
his	his	his
head	head	head
;	;	;
as	as	as
elegantly	elegantly	_UNK
despondent	despondent	_UNK
as	as	as
he	he	he
could	could	could
becomingly	becomingly	_UNK
be	be	be
of	of	of
a	a	the
country	country	country
still	still	still
containing	containing	impudent
himself	himself	himself
,	,	,
that	that	that
great	great	great
means	means	means
of	of	of
regeneration	regeneration	_UNK
.	.	.
""""	""""	""""
We	We	We
have	have	have
so	so	so
asserted	asserted	asserted
our	our	our
station	station	station
,	,	,
both	both	both
in	in	in
the	the	the
old	old	old
time	time	time
and	and	and
in	in	in
the	the	a
modern	modern	modern
time	time	time
also	also	also
,	,	,
""""	""""	""""
said	said	said
the	a	the
nephew	nephew	_UNK
,	,	,
gloomily	gloomily	_UNK
,	,	,
""""	""""	""""
that	that	that
I	I	I
believe	believe	believe
our	our	our
name	name	name
to	to	to
be	be	be
more	more	more
detested	detested	,
than	than	than
any	any	any
name	name	name
in	in	in
France	France	the
.	.	.
""""	""""	""""
""""	""""	""""
Let	Let	Let
us	us	us
hope	hope	hope
so	so	so
,	,	,
""""	""""	""""
said	said	said
the	a	the
uncle	uncle	uncle
.	.	.
""""	""""	""""
Detestation	Detestation	_UNK
of	of	of
the	the	the
high	high	high
is	is	is
the	the	the
involuntary	involuntary	involuntary
homage	homage	_UNK
of	of	of
the	the	the
low	low	low
.	.	.
""""	""""	""""
""""	""""	""""
There	There	There
is	is	is
not	not	not
,	,	,
""""	""""	""""
pursued	pursued	pursued
the	the	the
nephew	nephew	_UNK
,	,	,
in	in	in
his	his	his
former	former	former
tone	tone	tone
,	,	,
""""	""""	""""
a	a	the
face	face	face
I	I	I
can	can	can
look	look	look
at	at	at
,	,	,
in	in	in
all	all	all
this	this	this
country	country	country
round	round	round
about	about	about
us	us	us
,	,	,
which	which	which
looks	looks	looks
at	at	at
me	me	me
with	with	with
any	any	any
deference	deference	deference
on	on	on
it	it	it
but	but	but
the	the	a
dark	dark	dark
deference	deference	deference
of	of	of
fear	fear	fear
and	and	and
slavery	slavery	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
A	A	A
compliment	compliment	compliment
,	,	,
""""	""""	""""
said	said	said
the	the	the
Marquis	Marquis	_UNK
,	,	,
""""	""""	""""
to	to	to
the	the	the
grandeur	grandeur	handle
of	of	of
the	the	the
family	family	family
,	,	,
merited	merited	joined
by	by	by
the	a	the
manner	manner	manner
in	in	in
which	which	which
the	the	the
family	family	family
has	has	has
sustained	sustained	sustained
its	its	its
grandeur	grandeur	.
.	.	.
Hah	Hah	merry-go-rounder
!	!	!
""""	""""	""""
And	And	And
he	he	he
took	took	took
another	another	another
gentle	gentle	gentle
little	little	little
pinch	pinch	pinch
of	of	of
snuff	snuff	snuff
,	,	,
and	and	and
lightly	lightly	lightly
crossed	crossed	crossed
his	his	his
legs	legs	legs
.	.	.
But	But	But
,	,	,
when	when	when
his	his	his
nephew	nephew	_UNK
,	,	,
leaning	leaning	leaning
an	an	an
elbow	elbow	elbow
on	on	on
the	the	the
table	table	table
,	,	,
covered	covered	covered
his	his	his
eyes	eyes	eyes
thoughtfully	thoughtfully	a
and	and	and
dejectedly	dejectedly	dejectedly
with	with	with
his	his	his
hand	hand	hand
,	,	,
the	the	a
fine	fine	fine
mask	mask	mask
looked	looked	looked
at	at	at
him	him	him
sideways	sideways	sideways
with	with	with
a	a	the
stronger	stronger	stronger
concentration	concentration	_UNK
of	of	of
keenness	keenness	_UNK
,	,	,
closeness	closeness	closeness
,	,	,
and	and	and
dislike	dislike	dislike
,	,	,
than	than	than
was	was	was
comportable	comportable	_UNK
with	with	with
its	its	its
wearer	wearer	wearer
'	'	'
s	s	s
assumption	assumption	assumption
of	of	of
indifference	indifference	indifference
.	.	.
""""	""""	""""
Repression	Repression	_UNK
is	is	is
the	a	the
only	only	only
lasting	lasting	lasting
philosophy	philosophy	philosophy
.	.	.
The	A	A
dark	dark	dark
deference	deference	deference
of	of	of
fear	fear	fear
and	and	and
slavery	slavery	_UNK
,	,	,
my	my	my
friend	friend	friend
,	,	,
""""	""""	""""
observed	observed	observed
the	the	a
Marquis	Marquis	_UNK
,	,	,
""""	""""	""""
will	will	will
keep	keep	keep
the	the	the
dogs	dogs	dogs
obedient	obedient	obedient
to	to	to
the	the	a
whip	whip	scullery
,	,	,
as	as	as
long	long	long
as	as	as
this	this	this
roof	roof	roof
,	,	,
""""	""""	""""
looking	looking	looking
up	up	up
to	to	to
it	it	it
,	,	,
""""	""""	""""
shuts	shuts	_UNK
out	out	out
the	a	the
sky	sky	sky
.	.	.
""""	""""	""""
That	That	That
might	might	might
not	not	not
be	be	be
so	so	so
long	long	long
as	as	as
the	the	the
Marquis	Marquis	_UNK
supposed	supposed	supposed
.	.	.
If	If	If
a	a	the
picture	picture	picture
of	of	of
the	a	the
chateau	chateau	_UNK
as	as	as
it	it	it
was	was	was
to	to	to
be	be	be
a	a	a
very	very	very
few	few	few
years	years	years
hence	hence	Except
,	,	,
and	and	and
of	of	of
fifty	fifty	fifty
like	like	like
it	it	it
as	as	as
they	they	they
too	too	too
were	were	were
to	to	to
be	be	be
a	a	a
very	very	very
few	few	few
years	years	years
hence	hence	Except
,	,	,
could	could	could
have	have	have
been	been	been
shown	shown	shown
to	to	to
him	him	him
that	that	that
night	night	night
,	,	,
he	he	he
might	might	might
have	have	have
been	been	been
at	at	at
a	a	a
loss	loss	loss
to	to	to
claim	claim	claim
his	his	his
own	own	own
from	from	from
the	the	a
ghastly	ghastly	ghastly
,	,	,
fire-charred	fire-charred	_UNK
,	,	,
plunder-wrecked	plunder-wrecked	_UNK
rains	rains	_UNK
.	.	.
As	As	As
for	for	for
the	the	a
roof	roof	roof
he	he	he
vaunted	vaunted	_UNK
,	,	,
he	he	he
might	might	might
have	have	have
found	found	found
_that_	_that_	,
shutting	shutting	shutting
out	out	out
the	a	the
sky	sky	sky
in	in	in
a	a	a
new	new	new
way--to	way--to	_UNK
wit	wit	wit
,	,	,
for	for	for
ever	ever	ever
,	,	,
from	from	from
the	the	the
eyes	eyes	eyes
of	of	of
the	the	a
bodies	bodies	bodies
into	into	into
which	which	which
its	its	its
lead	lead	lead
was	was	was
fired	fired	fired
,	,	,
out	out	out
of	of	of
the	the	the
barrels	barrels	_UNK
of	of	of
a	a	a
hundred	hundred	hundred
thousand	thousand	thousand
muskets	muskets	_UNK
.	.	.
""""	""""	""""
Meanwhile	Meanwhile	Meanwhile
,	,	,
""""	""""	""""
said	said	said
the	the	the
Marquis	Marquis	_UNK
,	,	,
""""	""""	""""
I	I	I
will	will	will
preserve	preserve	preserve
the	the	the
honour	honour	honour
and	and	and
repose	repose	repose
of	of	of
the	the	the
family	family	family
,	,	,
if	if	if
you	you	you
will	will	will
not	not	not
.	.	.
But	But	But
you	you	you
must	must	must
be	be	be
fatigued	fatigued	fatigued
.	.	.
Shall	Shall	Shall
we	we	we
terminate	terminate	_UNK
our	our	our
conference	conference	conference
for	for	for
the	the	the
night	night	night
?	?	?
""""	""""	""""
""""	""""	""""
A	A	A
moment	moment	moment
more	more	more
.	.	.
""""	""""	""""
""""	""""	""""
An	An	An
hour	hour	hour
,	,	,
if	if	if
you	you	you
please	please	please
.	.	.
""""	""""	""""
""""	""""	""""
Sir	Sir	_UNK
,	,	,
""""	""""	""""
said	said	said
the	the	the
nephew	nephew	_UNK
,	,	,
""""	""""	""""
we	we	we
have	have	have
done	done	done
wrong	wrong	wrong
,	,	,
and	and	and
are	are	are
reaping	reaping	_UNK
the	the	the
fruits	fruits	_UNK
of	of	of
wrong	wrong	wrong
.	.	.
""""	""""	""""
""""	""""	""""
_We_	_We_	_UNK
have	have	have
done	done	done
wrong	wrong	wrong
?	?	?
""""	""""	""""
repeated	repeated	repeated
the	the	the
Marquis	Marquis	_UNK
,	,	,
with	with	with
an	an	an
inquiring	inquiring	inquiring
smile	smile	smile
,	,	,
and	and	and
delicately	delicately	_UNK
pointing	pointing	pointing
,	,	,
first	first	first
to	to	to
his	his	his
nephew	nephew	_UNK
,	,	,
then	then	then
to	to	to
himself	himself	himself
.	.	.
""""	""""	""""
Our	Our	_UNK
family	family	family
;	;	;
our	our	our
honourable	honourable	honourable
family	family	family
,	,	,
whose	whose	whose
honour	honour	honour
is	is	is
of	of	of
so	so	so
much	much	much
account	account	account
to	to	to
both	both	both
of	of	of
us	us	us
,	,	,
in	in	in
such	such	such
different	different	different
ways	ways	ways
.	.	.
Even	Even	killed
in	in	in
my	my	my
father	father	father
'	'	'
s	s	s
time	time	time
,	,	,
we	we	we
did	did	did
a	a	the
world	world	world
of	of	of
wrong	wrong	wrong
,	,	,
injuring	injuring	_UNK
every	every	every
human	human	human
creature	creature	creature
who	who	who
came	came	came
between	between	between
us	us	us
and	and	and
our	our	our
pleasure	pleasure	pleasure
,	,	,
whatever	whatever	whatever
it	it	it
was	was	was
.	.	.
Why	Why	Why
need	need	need
I	I	I
speak	speak	speak
of	of	of
my	my	my
father	father	father
'	'	'
s	s	s
time	time	time
,	,	,
when	when	when
it	it	it
is	is	is
equally	equally	equally
yours	yours	yours
?	?	?
Can	Can	patted
I	I	I
separate	separate	separate
my	my	my
father	father	father
'	'	'
s	s	s
twin-brother	twin-brother	_UNK
,	,	,
joint	joint	joint
inheritor	inheritor	_UNK
,	,	,
and	and	and
next	next	next
successor	successor	_UNK
,	,	,
from	from	from
himself	himself	himself
?	?	?
""""	""""	""""
""""	""""	""""
Death	Death	Death
has	has	has
done	done	done
that	that	that
!	!	!
""""	""""	""""
said	said	said
